W;JA57  STANDARD;JA57K  STANDARD;JA57KI  STANDARD;JA87  STANDARD;RANGER  STANDARD;GOLDEN  STANDARD;ROSS 308  STANDARD;JA57K x S77N  STORICO;JA57KI x CY  STORICO;JA87;RANGER x CNB  STORICO;GOLDEN  STORICO
25.0;74,29%;75,00%;75,00%;75,00%;50,30%;92,70%;;87,31%;76,40%;;38,94%;72,66%
26.0;85,71%;86,00%;86,00%;86,50%;73,60%;93,20%;;91,98%;75,61%;;50,78%;84,01%
27.0;91,43%;91,50%;91,50%;88,50%;81,80%;93,20%;;89,16%;79,06%;;63,34%;86,28%
28.0;91,43%;92,50%;92,50%;89,00%;85,50%;93,20%;;87,55%;79,37%;;73,46%;87,51%
29.0;91,43%;92,50%;92,50%;89,50%;86,20%;93,20%;;87,89%;78,65%;;77,63%;89,07%
30.0;91,43%;92,30%;92,30%;90,00%;86,30%;93,20%;;84,60%;76,68%;;79,19%;91,12%
31.0;90,00%;91,80%;91,70%;90,00%;85,60%;93,20%;;84,95%;77,10%;;79,36%;87,85%
32.0;90,00%;91,30%;91,10%;89,50%;84,90%;93,20%;;86,76%;69,37%;;80,83%;88,01%
33.0;90,00%;90,80%;90,50%;88,80%;84,10%;93,20%;;85,80%;83,82%;;81,37%;90,94%
34.0;88,57%;90,30%;89,90%;88,00%;83,40%;93,20%;;85,73%;79,70%;;80,19%;89,74%
35.0;88,57%;89,80%;89,30%;87,20%;82,70%;93,20%;;83,48%;81,24%;;80,32%;90,97%
36.0;87,14%;89,30%;88,60%;85,60%;81,90%;93,00%;;82,92%;79,33%;;79,38%;91,03%
37.0;87,14%;88,80%;87,90%;85,40%;81,20%;92,80%;;81,76%;79,87%;;79,16%;89,76%
38.0;85,71%;88,30%;87,10%;84,00%;80,40%;92,60%;;84,48%;82,05%;;78,52%;91,05%
39.0;85,71%;87,80%;86,30%;83,10%;79,70%;92,40%;;82,08%;84,71%;;76,64%;91,03%
40.0;84,29%;87,30%;85,50%;82,10%;78,90%;92,10%;;80,38%;82,55%;;75,76%;91,60%
41.0;84,29%;86,70%;84,70%;81,20%;78,10%;91,80%;;78,42%;84,84%;;73,85%;90,75%
42.0;82,86%;86,10%;83,90%;80,20%;77,40%;91,50%;;80,43%;80,82%;;73,27%;90,79%
43.0;82,86%;85,50%;83,10%;79,30%;76,60%;91,20%;;71,35%;85,54%;;73,38%;89,63%
44.0;81,43%;84,90%;82,30%;78,30%;75,80%;90,90%;;58,47%;85,54%;;72,15%;88,87%
45.0;81,43%;84,30%;81,50%;77,40%;75,10%;90,60%;;67,08%;87,58%;;71,76%;89,46%
46.0;80,00%;83,70%;80,70%;76,40%;74,30%;90,30%;;68,43%;85,07%;;71,36%;88,94%
47.0;80,00%;83,10%;79,90%;75,50%;73,50%;90,00%;;64,35%;86,16%;;70,49%;87,54%
48.0;78,57%;82,50%;79,10%;74,50%;72,70%;89,70%;;64,40%;85,24%;;71,03%;87,38%
49.0;78,57%;81,90%;78,30%;73,60%;71,90%;89,30%;;73,20%;72,05%;;69,40%;88,68%
50.0;77,14%;81,30%;77,50%;72,60%;71,20%;88,90%;;74,03%;74,85%;;67,93%;86,78%
51.0;75,71%;80,60%;76,70%;71,10%;70,40%;88,50%;;74,27%;77,51%;;67,83%;86,27%
52.0;75,71%;79,90%;75,90%;70,70%;69,60%;88,10%;;75,08%;75,33%;;66,81%;86,79%
53.0;74,29%;79,20%;75,10%;69,80%;68,80%;87,70%;;73,72%;75,53%;;65,35%;86,22%
54.0;74,29%;78,50%;74,30%;68,80%;68,00%;87,20%;;71,55%;56,28%;;65,51%;86,00%
55.0;72,86%;77,80%;73,50%;67,90%;67,20%;86,70%;;72,79%;57,29%;;63,94%;85,73%
56.0;72,86%;77,10%;72,70%;66,90%;66,30%;86,20%;;72,26%;57,27%;;54,93%;83,37%
57.0;71,43%;76,40%;71,90%;66,00%;65,50%;85,70%;;72,46%;70,80%;;54,95%;83,57%
58.0;71,43%;75,70%;71,10%;65,00%;64,70%;85,20%;;70,23%;70,02%;;53,49%;82,62%
59.0;70,00%;75,00%;70,30%;64,10%;63,90%;84,70%;;70,16%;55,36%;;51,82%;75,86%
60.0;68,57%;74,30%;69,50%;63,10%;63,10%;84,20%;;70,94%;54,28%;;49,07%;79,09%
61.0;68,57%;73,60%;68,70%;62,10%;62,20%;83,70%;;69,68%;53,59%;;49,47%;82,43%
62.0;67,14%;72,90%;67,90%;61,20%;61,40%;83,20%;;70,01%;55,00%;;47,48%;81,03%
63.0;67,14%;72,20%;67,10%;60,20%;;82,70%;;69,90%;70,30%;;47,08%;81,14%
64.0;65,71%;71,50%;66,30%;59,30%;;82,20%;;67,45%;68,73%;;51,94%;80,42%
65.0;;62,00%;65,50%;58,30%;;81,70%;;65,50%;65,50%;;53,98%;80,34%
